source_id,institution_or_ecosystem,source_name,source_url,source_type,official_or_secondary,fields_observed,time_coverage,access_method,legal_ethics_restrictions,phase_1_use,limitations,priority
S019,OpenSAFELY,Permitted outputs policy,https://www.opensafely.org/policies-for-researchers/permitted-outputs-policy/,policy documentation,official,"aggregated data only; small-number suppression; two trained output checkers; rejection and modification guidance",last updated 2025-10-17,public web,"NHS England output policy",manual output checking source,"output-check decisions may be in GitHub issues but require careful interpretation",high
S020,ONS SRS,About the Secure Research Service,https://www.ons.gov.uk/aboutus/whatwedo/statistics/requestingstatistics/secureresearchservice/aboutthesecureresearchservice,service page,official,"current projects; projects started last 12 months; Five Safes; approved settings; output checking",figures last updated July 2026,public web; accredited researcher access,"DEA/SRSA accreditation; approved safe setting",denominator and secure-enclave source,"project-level continuation/revocation data limited",high
S021,UK Statistics Authority,Public registers of accredited researchers and projects,https://uksa.statisticsauthority.gov.uk/digitaleconomyact-research-statistics/better-useofdata-for-research-information-for-researchers/list-of-accredited-researchers-and-research-projects-under-the-research-strand-of-the-digital-economy-act/,register,official,"project number/name; accredited researchers; legal gateway; protected data; processing environment; accreditation dates",projects correct as of 2026-06-01; researchers as of 2026-07-07,public xlsx/csv,"DEA/SRSA legal gateways; accredited processing environments",structured project and denominator source,"does not include output-check failures or rejected applications",high
S022,UK Statistics Authority,Research Accreditation Panel,https://uksa.statisticsauthority.gov.uk/digitaleconomyact-research-statistics/research-accreditation-panel/,governance page,official,"project criteria; public benefit; merit; feasibility; privacy mitigation; ethics; meeting dates; accredited processors",2026 meeting dates listed,public web,"Research Code of Practice; accreditation",project approval criteria and event timing,"panel decisions not always project-level public",medium
S023,CMS/ResDAC,Data available to researchers,https://www.cms.gov/data-research/cms-data/data-available-researchers,service page,official,"LDS/RIF distinction; DUA; fees; RIF processing 3-5 months; VRDC access",page modified 2026-03-18,public web; controlled access by DUA/VRDC,"HIPAA; CMS policy; DUA; fees",data-access pathway and granularity source,"project register not public",high
S024,CMS/ResDAC,CCW VRDC FAQs,https://resdac.org/virtual-research-data-center-vrdc-faqs,FAQ,official contractor,"output review; aggregate-only downloads; cell suppression; three output reviews/week; two business days estimate",current public web,public web; VRDC users only,"CMS cell suppression; PII/PHI restrictions",output-review and continuation friction source,"actual output-request outcomes not public",high
S025,CMS/ResDAC,Research Data Request and Access Policy Changes Update,https://resdac.umn.edu/cms-news/research-data-request-access-policy-changes-update,policy update,official contractor,"VRDC transition delayed indefinitely; updated DMP SAQ; extension form on disseminated findings; media disposition; Aug 11 2026 effective date",published 2026-02-11; effective 2026-08-11,public web,"CMS security requirements; DUA renewal",candidate treatment event and research-value reporting requirement,"future event as of 2026-07-28; implementation not observed yet",high
S026,Statistics Canada,RDC access process and guidelines,https://www.statcan.gc.ca/en/microdata/data-centres/access,application guidance,official,"project origin; peer review; co-investigators; security clearance; deemed employee; agreement; final product",modified 2026-06-15,public web; approved secure access,"Statistics Act; Oath of Office and Secrecy; security clearance",secure-lab access and final-product outcome source,"project list not centralized on this page",medium
S027,Statistics Canada,Access to microdata,https://www.statcan.gc.ca/en/microdata,service overview,official,"RDC; vRDC; secure environment; deemed employee; output vetting",modified 2026,public web; access requires approval,"confidentiality vetting; secure environments",granularity and output-control taxonomy,"limited public incident data",medium
S028,Statistics Canada,Virtual Data Lab evaluation,https://www.statcan.gc.ca/en/about/er/vdlp,evaluation report,official,"remote access pilot; monitoring controls; vetting procedures; KPIs; user counts baseline; modernization risks",December 2020 report,public web,"internal performance/evaluation constraints",policy-change and implementation-friction source,"older pilot; not necessarily current vRDC state",medium
S029,CASD,CASD home page,https://www.casd.eu/en/,institutional page,official,"580 data sources; 2075 hosted projects; 8295 users; certifications; 400+ publications; secure data users",current public web with 2026 news,public web; secure access via CASD,"GDPR; ISO 27001/27701; HDS; CNIL; secure access",rich denominator and institution comparison source,"project metadata may require portal navigation; incident outcomes sparse",high
S030,CASD,Infrastructure,https://www.casd.eu/en/technologie/infrastructure/,technical page,official,"central infrastructure; project servers; SD-Box; secure link; confined data environment",current public web,public web; SD-Box access,"secure remote access; confidentiality/integrity",control taxonomy source,"no direct project outcomes",medium
S031,CASD,Confidential Data Access Portal documentation,https://cdap.casd.eu/documentation,access documentation,official,"new project requests; complementary requests; add sources; add researchers; prolongation; producer approvals",current public web,public portal,"statistical secrecy committee; producer agreement",continuation/amendment workflow source,"mostly procedural; detailed decisions not directly downloadable",medium
S032,EGA,About EGA,https://ega-archive.org/about/ega/,repository overview,official,"DAC-controlled access; DAA; public metadata; controlled files; request process",current public web,public metadata; controlled download after DAC approval,"GDPR; DAC approval; DAA",controlled-access genomic comparator,"DACs distributed; enforcement outside EGA partly",medium
S033,EGA,DAC Portal documentation,https://www.ega-archive.org/access/data-access-committee/dac-portal/,access-management docs,official,"pending requests; grant/deny; active permissions; revocation; history page; DAC API",current public web,DAC portal for members,"DAC governance; DAA terms",excellent conceptual match for continuation/revocation,"request history not public",medium
S034,EGA,Security overview,https://ega-archive.org/about/security/,security documentation,official,"identity assurance; MFA for DACs; access-right changes; data access requests; resource-usage logs; encryption",current public web,public web,"GA4GH; controlled access; encryption",monitoring/logging taxonomy source,"logs are not public",medium
S035,AWS Clean Rooms,AWS Clean Rooms best practices,https://docs.aws.amazon.com/clean-rooms/latest/userguide/best-practices.html,platform docs,official,"analysis rules; query controls; output controls; query logs; collaborator review",current docs,public web; platform account required,"shared responsibility; privacy requirements configured by data owners",commercial data clean room comparator,"no public project register or leakage outcomes",low
S036,Snowflake Data Clean Rooms,Snowflake clean rooms and differential privacy docs,https://docs.snowflake.com/en/user-guide/cleanrooms/about,platform docs,official,"template approval; data-source approval/rejection; differential privacy; privacy budget; migration dates",current docs; legacy migration 2026-10-01 to 2027-06-01,public web; platform account required,"contractual platform terms; privacy policies",commercial platform controls and policy-event comparator,"limited empirical outcomes; customer usage private",low
S037,Google Ads Data Hub,Privacy checks,https://developers.google.com/ads-data-hub/guides/privacy-checks,platform docs,official,"aggregation thresholds; noise injection; difference checks; query privacy modes",current docs,public web; platform account required,"Ads Data Hub policies",output-control comparator,"advertising use case far from research continuation",low
S038,GitHub DMCA notices ecosystem,DMCA notices repository,https://github.com/github/dmca,public transparency archive,official,"year/month notice files; takedown notices; counter-notices; reported URLs; repository references; fork network notes; GitHub processing annotations",ongoing repository with year folders from 2011 through 2026 as observed on 2026-07-30,public GitHub,"copyright allegations; redactions; GitHub states notices are informational and do not imply wrongdoing",incident archive for public repository exposure and takedown-process analogies,"DMCA is not privacy leakage; notices are not adjudicated facts; no clean project/user denominator; takedowns may reflect rights-holder detection effort",medium
S039,GitHub,Secret scanning detection scope,https://docs.github.com/en/code-security/reference/secret-security/secret-scanning-scope,platform docs,official,"public monitoring; pattern matching; validity checks; push protection limitations; alert scope",current docs,public web,"GitHub security product terms",detection-intensity example and public exposure taxonomy,"alerts are private to owners; not a dataset for research without partner access",medium
S040,HHS OCR,HIPAA Breach Portal,https://ocrportal.hhs.gov/ocr/breach/breach_report_hip.jsf,breach register,official,"entity; state; entity type; individuals affected; submission date; breach type; location; business associate",last 24 months under investigation,public web,"HIPAA breach notification; 500+ individuals",health-data incident comparator and severity source,"not data-sharing-project-specific; reporting threshold and detection bias",medium
S041,NCI CDAS,Cancer Data Access System,https://cdas.cancer.gov/,data access system,official,"available studies; approved projects; project summaries; collaborators; publications",current public web,public project/publication browse; data request controlled,"NCI study access rules; biospecimen/data approvals",promising health project-output source,"scope limited to specific cancer studies; governance variation unclear",medium
